[2021-09-14 22:18:14,912] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20744
[2021-09-14 22:18:15,045] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:21:46,318] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20736
[2021-09-14 22:21:46,373] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-14 22:21:46,374] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-14 22:21:46,475] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-14 22:21:46,487] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-14 22:21:46,511] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 18:37:12,823] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 302 0
[2021-09-15 18:37:12,856] INFO basehttp.log_message: "GET /user/login?next=/project/%3Fshow_all_projects%3Don HTTP/1.1" 200 6766
[2021-09-15 18:37:12,922] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 200 316651
[2021-09-15 18:37:13,000] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 200 111020
[2021-09-15 18:37:13,141] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 18:37:22,001] INFO basehttp.log_message: "POST /user/login?next=/project/?show_all_projects=on HTTP/1.1" 302 0
[2021-09-15 18:37:22,090] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20736
[2021-09-15 18:37:22,203] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 18:37:22,203] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 18:37:22,204] INFO basehttp.log_message: "GET /static/c3js/c3.min.css HTTP/1.1" 200 2386
[2021-09-15 18:37:22,208] INFO basehttp.log_message: "GET /static/common/css/common.css HTTP/1.1" 200 3824
[2021-09-15 18:37:26,730] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20736
[2021-09-15 18:37:31,448] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20395
[2021-09-15 18:37:35,512] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20770
[2021-09-15 18:39:52,560] INFO basehttp.log_message: "GET /project/1/ HTTP/1.1" 200 15196
[2021-09-15 18:39:52,811] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:01:23,307] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 302 0
[2021-09-15 19:01:23,343] INFO basehttp.log_message: "GET /user/login?next=/project/%3Forder_by%3Did%26direction%3Dasc%26show_all_projects%3DTrue%26 HTTP/1.1" 200 6807
[2021-09-15 19:01:23,404] INFO basehttp.log_message: "GET /static/core/user/css/login.css HTTP/1.1" 200 47
[2021-09-15 19:01:23,405] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:01:23,405] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:01:23,513] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:01:23,515] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:01:27,462] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 302 0
[2021-09-15 19:01:27,528] INFO basehttp.log_message: "GET /project/?order_by=id HTTP/1.1" 200 10250
[2021-09-15 19:01:31,207] INFO basehttp.log_message: "GET /user/user-search-all HTTP/1.1" 200 16517
[2021-09-15 19:01:35,329] INFO basehttp.log_message: "GET /project/?show_all_projects=on HTTP/1.1" 200 20713
